name,slug,types,sprite_url
Aromatisse,aromatisse,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/683.png
Aron,aron,"steel,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png
Arrokuda,arrokuda,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/846.png
Articuno,articuno,"ice,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
Articuno,articuno-galar,"psychic,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10169.png
Audino,audino,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/531.png
Audino,audino-mega,"normal,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10069.png
Aurorus,aurorus,"rock,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/699.png
Avalugg,avalugg,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/713.png
Avalugg,avalugg-hisui,"ice,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10243.png
Axew,axew,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/610.png
Azelf,azelf,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/482.png
Azumarill,azumarill,"water,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
Azurill,azurill,"normal,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png
Bagon,bagon,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png
Baltoy,baltoy,"ground,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png
Banette,banette,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png
Banette,banette-mega,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10056.png
Barbaracle,barbaracle,"rock,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/689.png
Barbaracle,barbaracle-mega,"rock,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10298.png
Barboach,barboach,"water,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png
Barraskewda,barraskewda,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/847.png
Basculegion,basculegion-female,"water,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10248.png
Basculegion,basculegion-male,"water,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/902.png
Basculin,basculin-blue-striped,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10016.png
Basculin,basculin-red-striped,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/550.png
Basculin,basculin-white-striped,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10247.png
Bastiodon,bastiodon,"rock,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png
Baxcalibur,baxcalibur,"dragon,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/998.png
Baxcalibur,baxcalibur-mega,"dragon,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10325.png
Bayleef,bayleef,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
Beartic,beartic,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/614.png
Beautifly,beautifly,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png
Beedrill,beedrill,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
Beedrill,beedrill-mega,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10090.png
Beheeyem,beheeyem,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/606.png
Beldum,beldum,"steel,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png
Bellibolt,bellibolt,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/939.png
Bellossom,bellossom,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
Bellsprout,bellsprout,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
Bergmite,bergmite,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/712.png
Bewear,bewear,"normal,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/760.png
Bibarel,bibarel,"normal,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png
Bidoof,bidoof,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png
Binacle,binacle,"rock,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/688.png
Bisharp,bisharp,"dark,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/625.png
Blacephalon,blacephalon,"fire,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/806.png
Blastoise,blastoise,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
Blastoise,blastoise-gmax,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10197.png
Blastoise,blastoise-mega,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10036.png
Blaziken,blaziken,"fire,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png
Blaziken,blaziken-mega,"fire,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10050.png
Blipbug,blipbug,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/824.png
Blissey,blissey,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png
Blitzle,blitzle,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/522.png
Boldore,boldore,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/525.png
Boltund,boltund,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/836.png
Bombirdier,bombirdier,"flying,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/962.png
Bonsly,bonsly,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/438.png
Bouffalant,bouffalant,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/626.png
Bounsweet,bounsweet,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/761.png
Braixen,braixen,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/654.png
Brambleghast,brambleghast,"grass,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/947.png
Bramblin,bramblin,"grass,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/946.png
Braviary,braviary,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/628.png
Braviary,braviary-hisui,"psychic,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10240.png
Breloom,breloom,"grass,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png
Brionne,brionne,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/729.png
Bronzong,bronzong,"steel,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/437.png
Bronzor,bronzor,"steel,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png
Brute Bonnet,brute-bonnet,"grass,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/986.png
Bruxish,bruxish,"water,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/779.png
Budew,budew,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png
Buizel,buizel,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png
Bulbasaur,bulbasaur,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
Buneary,buneary,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png
Bunnelby,bunnelby,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/659.png
Burmy,burmy,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png
Butterfree,butterfree,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
Butterfree,butterfree-gmax,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10198.png
Buzzwole,buzzwole,"bug,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/794.png
Cacnea,cacnea,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png
Cacturne,cacturne,"grass,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png
Calyrex,calyrex,"psychic,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/898.png
Calyrex,calyrex-ice,"psychic,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10193.png
Calyrex,calyrex-shadow,"psychic,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10194.png
Camerupt,camerupt,"fire,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png
Camerupt,camerupt-mega,"fire,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10087.png
Capsakid,capsakid,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/951.png
Carbink,carbink,"rock,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/703.png
Carkol,carkol,"rock,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/838.png
Carnivine,carnivine,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/455.png
Carracosta,carracosta,"water,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/565.png
Carvanha,carvanha,"water,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png
Cascoon,cascoon,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png
Castform,castform,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png
Castform,castform-rainy,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10014.png
Castform,castform-snowy,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10015.png
Castform,castform-sunny,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10013.png
Caterpie,caterpie,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
Celebi,celebi,"psychic,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png
Celesteela,celesteela,"steel,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/797.png
Centiskorch,centiskorch,"fire,bug",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/851.png
Centiskorch,centiskorch-gmax,"fire,bug",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10220.png
Ceruledge,ceruledge,"fire,ghost",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/937.png
Cetitan,cetitan,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/975.png
Cetoddle,cetoddle,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/974.png
Chandelure,chandelure,"ghost,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/609.png
Chandelure,chandelure-mega,"ghost,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10291.png
Chansey,chansey,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png
Charcadet,charcadet,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/935.png
Charizard,charizard,"fire,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
Charizard,charizard-gmax,"fire,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10196.png
Charizard,charizard-mega-x,"fire,dragon",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10034.png
Charizard,charizard-mega-y,"fire,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10035.png
Charjabug,charjabug,"bug,electric",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/737.png
Charmander,charmander,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
Charmeleon,charmeleon,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
Chatot,chatot,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/441.png
Cherrim,cherrim,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png
Cherubi,cherubi,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png
Chesnaught,chesnaught,"grass,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/652.png
Chesnaught,chesnaught-mega,"grass,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10292.png
Chespin,chespin,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/650.png
Chewtle,chewtle,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/833.png
Chi-Yu,chi-yu,"dark,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1004.png
Chien-Pao,chien-pao,"dark,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1002.png
Chikorita,chikorita,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png
Chimchar,chimchar,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png
Chimecho,chimecho,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png
Chimecho,chimecho-mega,"psychic,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10306.png
Chinchou,chinchou,"water,electric",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png
Chingling,chingling,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/433.png
Cinccino,cinccino,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/573.png
Cinderace,cinderace,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/815.png
Cinderace,cinderace-gmax,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10210.png
Clamperl,clamperl,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png
Clauncher,clauncher,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/692.png
Clawitzer,clawitzer,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/693.png
Claydol,claydol,"ground,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png
Clefable,clefable,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png
Clefable,clefable-mega,"fairy,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10278.png
Clefairy,clefairy,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png
Cleffa,cleffa,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png
Clobbopus,clobbopus,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/852.png
Clodsire,clodsire,"poison,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/980.png
Cloyster,cloyster,"water,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png
Coalossal,coalossal,"rock,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/839.png
Coalossal,coalossal-gmax,"rock,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10215.png
Cobalion,cobalion,"steel,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/638.png
Cofagrigus,cofagrigus,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/563.png
Combee,combee,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png
Combusken,combusken,"fire,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png
Comfey,comfey,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/764.png
Conkeldurr,conkeldurr,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/534.png
Copperajah,copperajah,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/879.png
Copperajah,copperajah-gmax,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10224.png
Corphish,corphish,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png
Corsola,corsola,"water,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png
Corsola,corsola-galar,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10173.png
Corviknight,corviknight,"flying,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/823.png
Corviknight,corviknight-gmax,"flying,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10212.png
Corvisquire,corvisquire,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/822.png
Cosmoem,cosmoem,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/790.png
Cosmog,cosmog,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/789.png
Cottonee,cottonee,"grass,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/546.png
Crabominable,crabominable,"fighting,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/740.png
Crabominable,crabominable-mega,"fighting,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10315.png
Crabrawler,crabrawler,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/739.png
Cradily,cradily,"rock,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png
Cramorant,cramorant,"flying,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/845.png
Cramorant,cramorant-gorging,"flying,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10183.png
Cramorant,cramorant-gulping,"flying,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10182.png
Cranidos,cranidos,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png
Crawdaunt,crawdaunt,"water,dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png
Cresselia,cresselia,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/488.png
Croagunk,croagunk,"poison,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/453.png
Crobat,crobat,"poison,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png
Crocalor,crocalor,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/910.png
Croconaw,croconaw,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png
Crustle,crustle,"bug,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/558.png
Cryogonal,cryogonal,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/615.png
Cubchoo,cubchoo,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/613.png
Cubone,cubone,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png
Cufant,cufant,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/878.png
Cursola,cursola,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/864.png
Cutiefly,cutiefly,"bug,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/742.png
Cyclizar,cyclizar,"dragon,normal",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/967.png
Cyndaquil,cyndaquil,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png
Dachsbun,dachsbun,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/927.png
Darkrai,darkrai,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/491.png
Darkrai,darkrai-mega,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10312.png
Darmanitan,darmanitan-galar-standard,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10177.png
Darmanitan,darmanitan-galar-zen,"ice,fire",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10178.png
Darmanitan,darmanitan-standard,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/555.png
Darmanitan,darmanitan-zen,"fire,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10017.png
Dartrix,dartrix,"grass,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/723.png
